tax	Garnets_Hilo1	Kaites__North_shoreissac	Kaites__North_shorestacys	Kaneohe_Schoolswarm	Kim2	Kim3	KualoaCow-P	KualoaP15	KualoaP2	Pat_Univ1	Pat_Univ2	Pat_Univ3	UH_apiaryW1	UH_apiaryW15	UH_apiaryW30	VHS1	VHS2	VHS3	VHS5	Waikele38	WainnaeJon-2	WainnaeJon-3	Waminalo1	Waminalo2	total
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella;Morganella morganii	0	4	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;Dysgonomonas termitidis	0	0	1	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	9
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;[Erwinia] mediterraneensis	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Convivina;Convivina intestini	0	0	1	6	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gallinarum	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	8
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;Dysgonomonas mossii	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	8
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus colini	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	7
Viruses;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Plectroviridae;Suturavirus;Suturavirus SVTS2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Yokenella;Yokenella regensburgei	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus cremoris	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Companilactobacillus;Companilactobacillus suantsaicola	0	0	2	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	7
